Waktu,Ping(ms),Download(Mbps),Upload(Mbps),PacketLoss(%),Jitter(ms),Status
2026-05-09 16:19:01,80.0,20.64,15.61,0.0,9.7,Stabil
2026-05-09 16:24:01,36.31,25.61,18.55,0.2,1.0,Stabil
2026-05-09 16:29:01,26.98,16.04,13.26,0.0,13.72,Stabil
2026-05-09 16:34:01,22.87,23.99,23.49,0.0,11.64,Stabil
2026-05-09 16:39:01,55.58,29.4,16.14,0.0,13.37,Stabil
2026-05-09 16:44:01,29.12,16.29,19.78,0.0,11.31,Stabil
2026-05-09 16:49:01,5.0,30.76,15.63,0.0,8.55,Stabil
2026-05-09 16:54:01,32.58,31.23,29.32,0.0,10.87,Stabil
2026-05-09 16:59:01,34.72,14.61,11.56,0.0,5.04,Stabil
2026-05-09 17:04:01,35.9,47.71,16.85,0.0,11.51,Stabil
2026-05-09 17:09:01,40.1,27.94,22.6,0.0,4.25,Stabil
2026-05-09 17:14:01,46.87,20.72,26.42,0.0,2.99,Stabil
2026-05-09 17:19:01,21.79,28.62,15.04,0.0,14.62,Stabil
2026-05-09 17:24:01,36.49,23.97,8.7,0.0,10.34,Stabil
2026-05-09 17:29:01,43.05,20.68,21.72,0.0,9.2,Stabil
2026-05-09 17:34:01,23.25,25.42,22.88,0.0,3.85,Stabil
2026-05-09 17:39:01,55.46,48.31,16.05,0.1,8.97,Stabil
2026-05-09 17:44:01,38.9,34.25,10.58,0.0,3.4,Stabil
2026-05-09 17:49:01,44.26,37.74,19.36,0.0,14.24,Stabil
2026-05-09 17:54:01,39.4,22.29,29.19,0.0,12.37,Stabil
2026-05-09 17:59:01,46.02,20.36,13.49,0.0,4.35,Stabil
2026-05-09 18:04:01,49.45,31.3,22.93,0.0,19.48,Stabil
2026-05-09 18:09:01,14.45,21.83,23.27,0.0,8.8,Stabil
2026-05-09 18:14:01,35.2,39.63,16.41,0.0,23.6,Stabil
2026-05-09 18:19:01,20.55,35.82,18.25,0.0,9.31,Stabil
2026-05-09 18:24:01,31.65,33.71,20.84,0.5,9.64,Stabil
2026-05-09 18:29:01,28.21,34.22,24.27,0.0,8.29,Stabil
2026-05-09 18:34:01,38.21,18.03,19.04,0.0,11.93,Stabil
2026-05-09 18:39:01,38.46,21.53,24.34,0.0,10.26,Stabil
2026-05-09 18:44:01,51.25,36.43,9.73,0.0,5.31,Stabil
2026-05-09 18:49:01,39.57,30.06,18.14,0.0,14.36,Stabil
2026-05-09 18:54:01,43.56,37.08,23.72,0.1,13.26,Stabil
2026-05-09 18:59:01,17.71,15.99,18.99,0.0,5.72,Stabil
2026-05-09 19:04:01,69.72,13.06,22.12,0.0,1.94,Stabil
2026-05-09 19:09:01,21.6,25.32,27.36,0.0,10.64,Stabil
2026-05-09 19:14:01,24.04,29.73,18.27,0.0,6.74,Stabil
